libusea,libuseb,sex,age,par,inc,live,books
Y,Y,male,41,yes,,A suburb near a large city,3
N,N,male,67,no,75-under 150,A suburb near a large city,5
N,Y,female,56,no,150+,A small city or town,4
N,N,female,35,yes,30-under 75,A rural area,15
Y,N,male,46,yes,75-under 150,A suburb near a large city,12
N,N,female,69,no,75-under 150,A suburb near a large city,60
N,N,female,53,no,,A small city or town,6
N,N,male,75,no,under 30,A small city or town,2
Y,N,male,77,no,under 30,A rural area,25
Y,N,female,45,yes,75-under 150,A small city or town,2
N,N,male,66,no,30-under 75,A small city or town,12
N,N,female,65,no,,A small city or town,0
Y,Y,female,45,no,30-under 75,A large city,10
Y,N,female,,no,,A small city or town,0
Y,N,male,62,no,75-under 150,A rural area,0
Y,Y,female,51,no,30-under 75,A small city or town,15
N,N,female,43,yes,30-under 75,A large city,12
Y,N,female,67,no,30-under 75,A suburb near a large city,3
N,N,female,82,no,,A small city or town,0
Y,N,female,16,no,under 30,A small city or town,30
N,N,male,29,no,30-under 75,A large city,4
N,N,female,72,no,30-under 75,A rural area,90
Y,Y,male,57,no,150+,A suburb near a large city,8
Y,Y,female,,no,,A small city or town,15
N,N,male,50,no,150+,A large city,5
N,N,female,66,no,30-under 75,A small city or town,3
Y,Y,female,64,no,30-under 75,A small city or town,24
N,N,male,70,no,,A rural area,50
N,N,male,16,no,under 30,A large city,15
N,N,male,55,no,75-under 150,A rural area,8
Y,Y,male,81,no,75-under 150,A rural area,4
N,N,male,25,no,under 30,A large city,0
Y,Y,female,23,yes,30-under 75,A small city or town,60
N,Y,male,23,no,150+,A suburb near a large city,35
N,N,female,72,no,,A small city or town,12
N,Y,female,45,yes,under 30,A suburb near a large city,10
N,N,male,51,yes,75-under 150,A suburb near a large city,1
Y,N,female,66,no,under 30,A small city or town,30
Y,N,male,68,no,30-under 75,A small city or town,1
Y,N,male,60,yes,30-under 75,A small city or town,2
N,N,male,30,no,75-under 150,A small city or town,4
Y,N,male,51,yes,30-under 75,A small city or town,10
Y,Y,female,31,no,30-under 75,A small city or town,50
Y,Y,female,39,yes,150+,A small city or town,4
N,N,female,60,no,75-under 150,A suburb near a large city,5
N,N,male,21,no,under 30,A small city or town,4
N,N,male,35,no,30-under 75,A large city,4
Y,Y,male,19,no,under 30,A large city,0
N,N,male,67,no,150+,A suburb near a large city,5
Y,Y,female,34,yes,75-under 150,A large city,2
N,N,female,35,no,30-under 75,A small city or town,12
N,N,male,54,no,,A suburb near a large city,6
N,N,male,53,no,75-under 150,A suburb near a large city,0
N,Y,male,65,no,30-under 75,A rural area,2
N,N,male,52,no,75-under 150,A rural area,30
N,N,male,47,no,30-under 75,A small city or town,0
N,N,female,26,no,under 30,A small city or town,50
Y,Y,female,49,no,30-under 75,A rural area,15
Y,N,female,64,no,30-under 75,A small city or town,20
N,N,female,34,yes,30-under 75,A suburb near a large city,3
Y,Y,female,25,yes,under 30,A small city or town,
Y,Y,male,33,no,under 30,A suburb near a large city,5
N,N,male,59,no,30-under 75,A small city or town,1
N,N,male,82,no,,A large city,5
N,N,male,67,no,,A small city or town,6
N,Y,male,39,yes,75-under 150,A suburb near a large city,3
Y,Y,male,34,no,under 30,A small city or town,20
N,N,male,,no,,A small city or town,30
Y,N,female,73,no,30-under 75,A small city or town,50
Y,N,male,53,no,under 30,A small city or town,0
N,N,male,37,yes,,A large city,
Y,Y,male,20,no,,A large city,9
Y,N,female,30,yes,75-under 150,A small city or town,50
N,N,female,37,no,75-under 150,A rural area,5
Y,N,female,55,no,under 30,A large city,1
Y,N,female,,yes,30-under 75,A large city,6
Y,Y,female,62,no,75-under 150,A large city,25
Y,N,male,31,no,under 30,A large city,10
Y,Y,male,19,no,30-under 75,A large city,15
N,N,female,26,no,under 30,A large city,1
N,N,male,63,no,30-under 75,A rural area,15
N,N,male,29,no,75-under 150,A suburb near a large city,0
N,Y,male,24,no,75-under 150,A small city or town,5
Y,Y,female,46,yes,30-under 75,A suburb near a large city,5
Y,Y,male,42,no,under 30,A small city or town,12
Y,N,female,50,yes,150+,A suburb near a large city,3
N,N,male,63,yes,150+,A suburb near a large city,5
